,url,author
380,http://lib.ru/INPROZ/PIRSIG/,Персиг Роберт
381,http://lib.ru/INPROZ/PERUC/,Перуц Лео
382,http://lib.ru/INPROZ/PETROWICH_G/,Петрович Горан
383,http://lib.ru/INPROZ/PLANKETT/,Планкетт Джеймс
384,http://lib.ru/INPROZ/PYNCHON/,Пинчон Томас
385,http://lib.ru/INPROZ/POLO_M/,Поло Марко
386,http://lib.ru/INPROZ/PORTER/,Портер Энн Кэтрин
387,http://lib.ru/INPROZ/POTOCKIJ/,Потоцкий Ян
388,http://lib.ru/INPROZ/../PRISTLI/,Пристли Джон Бойтон
389,http://lib.ru/INPROZ/PRU_A/,Пру Энни
390,http://lib.ru/INPROZ/PRULKS_E/,Прулкс Энни
391,http://lib.ru/INPROZ/../INOSTRHIST/PRUS/,Прус Болеслав
392,http://lib.ru/INPROZ/PRUST/,Пруст Марсель
393,http://lib.ru/INPROZ/PULLMAN/,Пулман Филип
394,http://lib.ru/INPROZ/RAJT/,Райт Ричард
395,http://lib.ru/INPROZ/RAMPO/,Рампо Эдогава
396,http://lib.ru/INPROZ/RATWEG/,Рат-Вег Иштван
397,http://lib.ru/INPROZ/REJTO/,Рейто Ене
398,http://lib.ru/INPROZ/REMAKL/,Ремакль Андре
399,http://lib.ru/INPROZ/RENAR/,Ренар Жюль
400,http://lib.ru/INPROZ/ROBERTSON_M/,Робертсон Морган
401,http://lib.ru/INPROZ/ROZENDORFER/,Розендорфер Герберт
402,http://lib.ru/INPROZ/ROJ_A/,Рой Арундати
403,http://lib.ru/INPROZ/ROLLAN/,Роллан Ромен
404,http://lib.ru/INPROZ/ROT_J/,Рот Йозеф
405,http://lib.ru/INPROZ/../POEZIQ/RUSHDI/,Рушди Салман
406,http://lib.ru/INPROZ/RUELLEN_A/,Рюэллан Андре
407,http://lib.ru/INPROZ/SABO/,Сабо Иштван
408,http://lib.ru/INPROZ/SAGAN/,Саган Франсуаза
409,http://lib.ru/INPROZ/SAKI/,Саки(Гектор Хью Манро)
410,http://lib.ru/INPROZ/SAROQN/,Сароян Уильям
