,url_x,book,author_x,author_y,url_y
1,http://lib.ru/RUSSLIT/STANYUKOWICH/nianka.txt,нянька,станюковичконстантин,константинмихайловичстанюкович,https://briefly.ru/stanjukovich/nianka/
2,http://lib.ru/RUSSLIT/STANYUKOWICH/kucyj.txt,куцый,станюковичконстантин,константинмихайловичстанюкович,https://briefly.ru/stanjukovich/kutcyy/
3,http://lib.ru/RUSSLIT/STANYUKOWICH/matrosik.txt,матросик,станюковичконстантин,константинмихайловичстанюкович,https://briefly.ru/stanjukovich/matrosik/
4,http://lib.ru/RUSSLIT/STANYUKOWICH/maximka.txt,максимка,станюковичконстантин,константинмихайловичстанюкович,https://briefly.ru/stanjukovich/maksimka/
5,http://lib.ru/RUSSLIT/STANYUKOWICH/zabortom.txt,человекзабортом,станюковичконстантин,константинмихайловичстанюкович,https://briefly.ru/stanjukovich/chelovek_za_bortom/
6,http://lib.ru/PROZA/GROSSMAN/grossman13.txt,собака,гроссманвасилий,василийсеменовичгроссман,https://briefly.ru/grossman/sobaka/
7,http://lib.ru/PROZA/SHOLOHOW/obida.txt,обида,шолоховмихаил,михаилалександровичшолохов,https://briefly.ru/sholohov/obida/
8,http://lib.ru/PROZA/../NABOKOW/rozhdestvo.txt,рождество,набоковвладимир,владимирвладимировичнабоков,https://briefly.ru/nabokov/rozhdestvo/
9,http://lib.ru/PROZA/../NABOKOW/fial12.txt,облакоозеробашня,набоковвладимир,владимирвладимировичнабоков,https://briefly.ru/nabokov/oblako_ozero_bashnia/
10,http://lib.ru/PROZA/../NABOKOW/mary.txt,машенька,набоковвладимир,владимирвладимировичнабоков,https://briefly.ru/nabokov/mashenka/
11,http://lib.ru/PROZA/../NABOKOW/luzhin.txt,защиталужина,набоковвладимир,владимирвладимировичнабоков,https://briefly.ru/nabokov/zashita_luzhina/
12,http://lib.ru/PROZA/../NABOKOW/invitation.txt,приглашениенаказнь,набоковвладимир,владимирвладимировичнабоков,https://briefly.ru/nabokov/priglashenie_na_kazn/
13,http://lib.ru/PROZA/../NABOKOW/dar.txt,дар,набоковвладимир,владимирвладимировичнабоков,https://briefly.ru/nabokov/dar/
14,http://lib.ru/PROZA/BALTER/good-bye.txt,досвиданиямальчики,балтерборис,борисисааковичбалтер,https://briefly.ru/balter/do_svidanija_malchiki/
15,http://lib.ru/INPROZ/DURENMATT/avaria.txt,авария,дюрренматтфридрих,фридрихдюрренматт,https://briefly.ru/djurrenmatt/avarija/
16,http://lib.ru/INPROZ/DURENMATT/p_visit.txt,визитстаройдамы,дюрренматтфридрих,фридрихдюрренматт,https://briefly.ru/djurrenmatt/vizit_staroj_damy/
17,http://lib.ru/INOFANT/KELLERMAN/tonnel.txt,туннель,келлерманбернгард,бернгардкеллерман,https://briefly.ru/kellerman/tunnel/
18,http://lib.ru/PROZA/NAGIBIN/rasskazy.txt,безлюбый,нагибинюрий,юриймарковичнагибин,https://briefly.ru/nagibin/bezliubyy/
19,http://lib.ru/PROZA/../BULGAKOW/zapiskiw.txt,запискиюноговрача,булгаковмихаил,михаилафанасьевичбулгаков,https://briefly.ru/bulgakov/zapiski_iunogo_vracha/
20,http://lib.ru/PROZA/../BULGAKOW/whtguard.txt,белаягвардия,булгаковмихаил,михаилафанасьевичбулгаков,https://briefly.ru/bulgakov/belaya_gvardiya/
21,http://lib.ru/PROZA/../BULGAKOW/eggs.txt,роковыеяйца,булгаковмихаил,михаилафанасьевичбулгаков,https://briefly.ru/bulgakov/rokovye_yaitsa/
